,SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
3340,50,8,29,Colorado,Delta County,11,15,2109,1047,1062,1011,1035,2,2,11,6,5,6,2,1,16,12,1027,1047,2,3,26,16,6,7,2,1,991,994,966,972,2,2,5,3,4,6,1,1,13,10,979,982,2,3,17,11,5,7,1,1,56,68,45,63,0,0,6,3,1,0,1,0,3,2,48,65,0,0,9,5,1,0,1,0
3341,50,8,29,Colorado,Delta County,11,16,1456,713,743,708,728,0,3,3,5,1,2,0,0,1,5,709,733,0,4,4,8,1,3,0,0,671,709,667,698,0,2,2,2,1,2,0,0,1,5,668,703,0,3,3,5,1,3,0,0,42,34,41,30,0,1,1,3,0,0,0,0,0,0,41,30,0,1,1,3,0,0,0,0
3342,50,8,29,Colorado,Delta County,11,17,969,477,492,463,473,0,0,4,5,0,1,0,0,10,13,473,486,1,0,11,17,2,2,0,0,452,467,438,452,0,0,4,3,0,1,0,0,10,11,448,463,1,0,11,13,2,2,0,0,25,25,25,21,0,0,0,2,0,0,0,0,0,2,25,23,0,0,0,4,0,0,0,0
3343,50,8,29,Colorado,Delta County,11,18,884,337,547,326,533,0,1,4,3,3,4,0,0,4,6,330,539,1,1,7,8,3,5,0,0,326,520,316,510,0,1,3,2,3,4,0,0,4,3,320,513,1,1,6,4,3,5,0,0,11,27,10,23,0,0,1,1,0,0,0,0,0,3,10,26,0,0,1,4,0,0,0,0
3534,50,8,31,Colorado,Denver County,11,0,716492,359590,356902,292454,286450,35450,34954,6357,6543,13269,16100,735,675,11325,12180,302342,297150,40779,40567,10734,11371,17001,20114,1316,1327,251915,252015,196562,193774,32428,31698,1751,1899,12617,15416,492,489,8065,8739,203608,201435,36357,35922,4239,4710,15633,18676,928,961,107675,104887,95892,92676,3022,3256,4606,4644,652,684,243,186,3260,3441,98734,95715,4422,4645,6495,6661,1368,1438,388,366
3535,50,8,31,Colorado,Denver County,11,1,42921,21887,21034,16812,16081,2274,2203,497,507,833,823,75,60,1396,1360,18076,17317,3030,2936,879,890,1326,1308,139,123,13225,12523,9331,8783,1988,1883,105,90,763,759,43,38,995,970,10243,9670,2536,2420,304,290,1152,1143,88,83,8662,8511,7481,7298,286,320,392,417,70,64,32,22,401,390,7833,7647,494,516,575,600,174,165,51,40
3536,50,8,31,Colorado,Denver County,11,2,39148,20010,19138,14907,14360,2494,2363,465,438,759,718,54,59,1331,1200,16115,15445,3225,3008,844,785,1231,1124,111,114,11018,10395,7082,6730,2173,2038,88,76,698,664,34,41,943,846,7943,7503,2697,2508,280,254,1077,990,78,79,8992,8743,7825,7630,321,325,377,362,61,54,20,18,388,354,8172,7942,528,500,564,531,154,134,33,35
3537,50,8,31,Colorado,Denver County,11,3,37588,19012,18576,14045,13843,2465,2339,486,481,742,756,63,57,1211,1100,15127,14834,3132,2942,833,802,1155,1129,114,107,9413,9141,5733,5606,2066,1988,82,69,686,695,39,34,807,749,6469,6288,2533,2421,238,218,988,980,71,66,9599,9435,8312,8237,399,351,404,412,56,61,24,23,404,351,8658,8546,599,521,595,584,167,149,43,41
3538,50,8,31,Colorado,Denver County,11,4,34579,17374,17205,12998,12797,2285,2134,469,486,664,792,57,54,901,942,13799,13653,2763,2628,762,802,948,1093,101,97,8576,8619,5217,5288,1995,1829,98,84,618,745,40,41,608,632,5765,5868,2343,2182,226,227,838,974,69,70,8798,8586,7781,7509,290,305,371,402,46,47,17,13,293,310,8034,7785,420,446,536,575,110,119,32,27
3539,50,8,31,Colorado,Denver County,11,5,42962,21033,21929,16405,16646,2324,2258,498,533,839,1334,50,57,917,1101,17214,17623,2787,2826,834,925,1128,1685,92,107,12569,13941,8924,9660,2062,2002,140,169,786,1295,29,42,628,773,9479,10351,2407,2429,311,382,1005,1561,60,77,8464,7988,7481,6986,262,256,358,364,53,39,21,15,289,328,7735,7272,380,397,523,543,123,124,32,30
